Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
974;23;21;formation sélective
45;180;157;formation sélective
49;94;93;formation sélective
59;25;23;formation sélective
75;30;31;formation sélective
76;240;231;formation sélective
31;40;0;formation sélective
21;28;20;formation sélective
29;56;25;formation sélective
49;140;59;formation sélective
10;85;42;formation sélective
75;395;453;formation sélective
17;5;0;formation sélective
75;25;0;formation sélective
94;15;29;formation sélective
94;250;248;formation sélective
95;125;104;formation sélective
49;6;0;formation sélective
59;6;0;formation sélective
45;12;0;formation sélective
76;75;41;formation sélective
21;180;78;formation sélective
72;35;27;formation sélective
13;4;0;formation sélective
974;36;18;formation sélective
92;300;8;formation sélective
68;16;13;formation sélective
13;2;0;formation sélective
76;145;102;formation sélective
56;60;39;formation sélective
35;70;50;formation sélective
67;70;52;formation sélective
76;8;1;formation sélective
99;10;1;formation sélective
51;25;0;formation sélective
1;24;2;formation sélective
1;18;1;formation sélective
1;30;0;formation sélective
1;32;1;formation sélective
1;8;0;formation sélective
2;18;0;formation sélective
2;35;0;formation sélective
2;30;0;formation sélective
2;35;2;formation sélective
2;24;4;formation sélective
2;35;0;formation sélective
2;35;3;formation sélective
2;16;0;formation sélective
2;15;0;formation sélective
2;18;1;formation sélective
2;18;0;formation sélective
2;35;2;formation sélective
2;52;9;formation sélective
3;25;27;formation sélective
3;24;0;formation sélective
3;15;0;formation sélective
3;20;2;formation sélective
3;35;4;formation sélective
3;52;1;formation sélective
3;6;0;formation sélective
3;24;0;formation sélective
3;84;20;formation sélective
3;52;17;formation sélective
4;24;1;formation sélective
4;30;0;formation sélective
4;56;22;formation sélective
5;35;0;formation sélective
5;35;3;formation sélective
5;85;28;formation non sélective
6;24;1;formation sélective
6;32;1;formation sélective
6;35;0;formation sélective
6;35;9;formation sélective
6;31;0;formation sélective
6;96;92;formation sélective
6;48;43;formation sélective
6;32;6;formation sélective
6;24;3;formation sélective
6;37;1;formation sélective
6;24;0;formation sélective
6;28;1;formation sélective
6;25;1;formation sélective
6;32;2;formation sélective
6;168;73;formation sélective
6;420;131;formation non sélective
6;60;15;formation non sélective
6;15;0;formation sélective
6;24;2;formation sélective
6;60;27;formation sélective
6;25;8;formation sélective
7;34;1;formation sélective
7;24;0;formation sélective
7;23;0;formation sélective
8;36;4;formation sélective
8;24;0;formation sélective
8;36;0;formation sélective
8;36;2;formation sélective
8;36;2;formation sélective
8;24;3;formation sélective
8;36;1;formation sélective
8;24;1;formation sélective
8;50;8;formation sélective
9;12;0;formation sélective
10;48;36;formation sélective
10;140;33;formation sélective
10;32;2;formation sélective
10;30;0;formation sélective
10;30;1;formation sélective
10;36;4;formation sélective
11;30;0;formation sélective
11;20;1;formation sélective
11;20;0;formation sélective
11;15;0;formation sélective
12;18;0;formation sélective
12;24;0;formation sélective
12;15;0;formation sélective
12;12;0;formation sélective
12;80;29;formation sélective
12;33;0;formation sélective
12;32;9;formation sélective
12;15;0;formation sélective
13;35;0;formation sélective
13;96;93;formation sélective
13;24;0;formation sélective
13;35;1;formation sélective
13;24;13;formation sélective
13;24;0;formation sélective
13;24;1;formation sélective
13;15;0;formation sélective
13;48;7;formation sélective
13;48;2;formation sélective
13;35;0;formation sélective
13;24;1;formation sélective
13;36;15;formation sélective
13;24;0;formation sélective
13;26;0;formation sélective
13;56;3;formation sélective
13;15;0;formation sélective
13;36;1;formation sélective
13;40;0;formation sélective
13;60;57;formation sélective
13;30;1;formation sélective
13;24;1;formation sélective
13;25;2;formation sélective
13;27;2;formation sélective
13;100;10;formation sélective
13;35;0;formation sélective
13;140;57;formation sélective
13;30;2;formation sélective
13;40;3;formation sélective
13;30;0;formation sélective
13;50;5;formation sélective
13;33;2;formation sélective
13;24;0;formation sélective
13;25;0;formation sélective
13;90;42;formation non sélective
14;96;92;formation sélective
14;96;94;formation sélective
14;30;3;formation sélective
14;32;2;formation sélective
14;24;0;formation sélective
14;40;11;formation sélective
14;24;0;formation sélective
14;15;0;formation sélective
14;220;46;formation non sélective
14;80;29;formation non sélective
14;150;61;formation non sélective
14;150;23;formation non sélective
14;65;6;formation non sélective
14;250;60;formation non sélective
14;75;7;formation non sélective
14;12;0;formation sélective
14;15;2;formation sélective
14;12;1;formation sélective
14;49;12;formation sélective
14;56;14;formation sélective
14;28;11;formation sélective
15;15;0;formation sélective
15;30;1;formation sélective
15;28;7;formation sélective
