Filière de formation,Etablissement,Code_UAI_etablissement,Coordonnées GPS de la formation,Capacité de l’établissement par formation,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,Effectif total des candidats ayant accepté la proposition de l’établissement (admis),Dont effectif des candidates admises,Effectif des admis néo bacheliers,Dont effectif des admis néo bacheliers sans mention au bac,Dont effectif des admis néo bacheliers avec mention Assez Bien au bac,Dont effectif des admis néo bacheliers avec mention Bien au bac,Dont effectif des admis néo bacheliers avec mention Très Bien au bac,Dont effectif des admis issus de la même académie
BTS - Services - Tourisme,Lycée Saint - Joseph - Bossuet,0220102S,"48.7285, -3.45597",35,245,176,17,13,12,6,6,0,0,10
BUT - Information communication Parcours communication des organisations,I.U.T de Lannion,0221036G,"48.7584, -3.45128",29,345,261,29,25,27,1,14,9,3,22
BTS - Services - Services informatiques aux organisations (Seconde année possible en apprentissage),Lycée Felix Le Dantec,0220023F,"48.731, -3.44693",35,1024,180,32,1,21,7,8,5,1,19
BTS - Production - Systèmes photoniques,Lycée Felix Le Dantec,0220023F,"48.731, -3.44693",15,108,36,10,4,6,2,4,0,0,5
BTS - Production - Electrotechnique,Lycée Felix Le Dantec,0220023F,"48.731, -3.44693",24,135,10,10,1,6,2,3,1,0,6
BUT - Information communication Parcours journalisme,I.U.T de Lannion,0221036G,"48.7584, -3.45128",29,713,325,28,11,20,1,4,10,5,13
D.E Infirmier,IFSI CH Lannion,0221753L,"48.72204, -3.46689",50,3881,3240,51,41,27,10,6,11,0,25
Mention complémentaire - Services numériques aux organisations,Lycée Felix Le Dantec,0220023F,"48.731, -3.44693",16,28,7,7,3,7,4,3,0,0,7
BUT - Réseaux et télécommunications (Seconde année possible en apprentissage),I.U.T de Lannion,0221036G,"48.7584, -3.45128",78,765,56,72,4,62,12,37,12,1,50
BUT - Métiers du multimédia et de l'internet (Seconde année possible en apprentissage),I.U.T de Lannion,0221036G,"48.7584, -3.45128",56,637,161,56,10,41,8,23,9,1,36
BTS - Production - Systèmes numériques - Option informatique et réseaux,Lycée Felix Le Dantec,0220023F,"48.731, -3.44693",30,735,127,29,3,22,11,10,1,0,20
BTS - Services - Commerce International,Lycée Felix Le Dantec,0220023F,"48.731, -3.44693",35,806,396,27,16,22,13,9,0,0,20
BUT - Informatique (Seconde année possible en apprentissage),I.U.T de Lannion,0221036G,"48.7584, -3.45128",122,1104,93,119,10,106,4,52,46,4,93
BUT - Mesures physiques (Seconde année possible en apprentissage),I.U.T de Lannion,0221036G,"48.7584, -3.45128",104,810,200,98,20,84,10,50,21,3,82
